feature,importance_mean,importance_std
Статус допуска,0.0003,0.0
is_jan_to_april,0.0004,0.0
is_2019,0.0005,0.0
trade_end_night_12,0.0039,0.0003
app_start_night_12,0.0046,0.0003
app_end_noon_12,0.0046,0.0004
publication_peak_9_11,0.0065,0.0005
is_january,0.0074,0.0001
РНП ранее,0.0078,0.0003
Сводный риск,0.0079,0.0001
month,0.0081,0.0004
year,0.0082,0.0007
Уровень,0.0113,0.0006
Тип торгов,0.0131,0.0003
Город поставки,0.015,0.0011
Регион поставки,0.0161,0.0001
Сфера деятельности,0.0165,0.0009
"Обеспечение контракта, %",0.0171,0.0004
Обеспечение контракта (руб.),0.0172,0.0005
"Обеспечение заявки, %",0.0177,0.0011
Обеспечение заявки (руб.),0.0181,0.0003
avg_competitors_in_customer,0.0182,0.001
avg_competitors_in_sphere,0.0194,0.0011
avg_competitors_in_region,0.0201,0.0002
competitors_per_tender,0.0207,0.0003
total_wins,0.0225,0.001
sphere_wins,0.0237,0.0004
customer_wins,0.0262,0.0005
region_wins,0.0267,0.0011
days_between,0.0268,0.0005
sphere_win_rate,0.028,0.0001
customer_win_rate,0.0284,0.0002
region_win_rate,0.029,0.0009
win_rate,0.0311,0.0004
"Снижение на торгах,%",0.0319,0.0007
log_profit,0.0344,0.001
log_cost,0.0351,0.0006
avg_price_drop,0.0418,0.0004
