feature,importance_mean,importance_std
Статус допуска,0.0004,0.0
is_jan_to_april,0.0005,0.0
is_2019,0.0005,0.0
trade_end_night_12,0.004,0.0003
app_start_night_12,0.0046,0.0004
app_end_noon_12,0.0046,0.0003
publication_peak_9_11,0.0065,0.0005
is_january,0.0074,0.0001
РНП ранее,0.0078,0.0003
Сводный риск,0.0079,0.0001
month,0.0081,0.0007
year,0.0082,0.0003
Уровень,0.0111,0.0006
Тип торгов,0.0129,0.0003
Город поставки,0.0149,0.0011
Регион поставки,0.0156,0.0001
Сфера деятельности,0.0161,0.001
"Обеспечение контракта, %",0.0165,0.0004
Обеспечение контракта (руб.),0.0168,0.0004
"Обеспечение заявки, %",0.0171,0.0011
Обеспечение заявки (руб.),0.0175,0.0003
avg_competitors_in_customer,0.0177,0.001
avg_competitors_in_sphere,0.0187,0.001
avg_competitors_in_region,0.0193,0.0002
competitors_per_tender,0.0199,0.0003
total_wins,0.0219,0.001
sphere_wins,0.0228,0.0004
customer_wins,0.025,0.0005
region_wins,0.025,0.0004
days_between,0.0257,0.0011
sphere_win_rate,0.0267,0.001
customer_win_rate,0.0269,0.0001
region_win_rate,0.0273,0.0002
win_rate,0.0297,0.0004
"Снижение на торгах,%",0.0308,0.0006
log_profit,0.0308,0.0008
log_cost,0.0347,0.0004
avg_price_drop,0.0403,0.0004
