feature,importance_mean,importance_std
Статус допуска,0.0002,0.0
is_jan_to_april,0.0003,0.0
is_2019,0.0004,0.0001
trade_end_night_12,0.0042,0.0003
app_start_night_12,0.0049,0.0003
app_end_noon_12,0.0049,0.0003
publication_peak_9_11,0.007,0.0003
is_january,0.008,0.0006
РНП ранее,0.0084,0.0001
Сводный риск,0.0085,0.0003
month,0.0086,0.0
year,0.0089,0.0004
Уровень,0.0124,0.0007
Тип торгов,0.0143,0.0007
Город поставки,0.0158,0.0004
Регион поставки,0.0177,0.0011
Сфера деятельности,0.0182,0.0001
"Обеспечение контракта, %",0.0188,0.0008
Обеспечение контракта (руб.),0.0188,0.0004
"Обеспечение заявки, %",0.0196,0.0011
avg_competitors_in_customer,0.02,0.0009
Обеспечение заявки (руб.),0.02,0.0003
avg_competitors_in_sphere,0.0213,0.0012
avg_competitors_in_region,0.0221,0.0003
competitors_per_tender,0.0229,0.0003
total_wins,0.0244,0.001
sphere_wins,0.0259,0.0003
customer_wins,0.0288,0.0005
region_wins,0.0292,0.0012
days_between,0.0299,0.0005
sphere_win_rate,0.0305,0.0001
customer_win_rate,0.0309,0.0003
region_win_rate,0.0325,0.0008
win_rate,0.0339,0.0003
"Снижение на торгах,%",0.0346,0.0007
log_profit,0.037,0.0007
log_cost,0.0387,0.0011
avg_price_drop,0.0448,0.0003
