feature,importance_mean,importance_std
Статус допуска,-0.0001,0.0
is_jan_to_april,-0.0,0.0
is_2019,0.0002,0.0001
trade_end_night_12,0.0013,0.0
app_start_night_12,0.0019,0.0001
app_end_noon_12,0.0021,0.0002
publication_peak_9_11,0.0032,0.0002
is_january,0.0035,0.0
РНП ранее,0.0035,0.0002
Сводный риск,0.0035,0.0004
month,0.0036,0.0001
year,0.0038,0.0004
Уровень,0.004,0.0001
Тип торгов,0.0048,0.0001
Город поставки,0.0051,0.0001
Регион поставки,0.0068,0.0
Сфера деятельности,0.007,0.0001
"Обеспечение контракта, %",0.0071,0.0
Обеспечение контракта (руб.),0.0073,0.0
"Обеспечение заявки, %",0.0077,0.0
avg_competitors_in_customer,0.0079,0.0
Обеспечение заявки (руб.),0.0079,0.0
avg_competitors_in_sphere,0.008,0.0
avg_competitors_in_region,0.0081,0.0001
competitors_per_tender,0.0081,0.0002
total_wins,0.0091,0.0001
sphere_wins,0.0091,0.0001
customer_wins,0.0099,0.0003
region_wins,0.0099,0.0
days_between,0.01,0.0004
sphere_win_rate,0.0101,0.0002
customer_win_rate,0.0102,0.0001
region_win_rate,0.0103,0.0
win_rate,0.0107,0.0
"Снижение на торгах,%",0.0117,0.0
log_profit,0.0135,0.0003
log_cost,0.0139,0.0002
avg_price_drop,0.0169,0.0001
